No	Year	Ash Wed	Diff Next Year	Shift Day	Total Diff	Total Year	Next Ash Wed
1	2024	"Wednesday, February 14, 2024"	21	-1	20	365	"Wednesday, March 5, 2025"
2	2025	"Wednesday, March 5, 2025"	-14	-1	-15	365	"Wednesday, February 18, 2026"
3	2026	"Wednesday, February 18, 2026"	-7	-1	-8	365	"Wednesday, February 10, 2027"
4	2027	"Wednesday, February 10, 2027"	21	-2	19	366	"Wednesday, March 1, 2028"
5	2028	"Wednesday, March 1, 2028"	-14	-1	-15	365	"Wednesday, February 14, 2029"
6	2029	"Wednesday, February 14, 2029"	21	-1	20	365	"Wednesday, March 6, 2030"
7	2030	"Wednesday, March 6, 2030"	-7	-1	-8	365	"Wednesday, February 26, 2031"
8	2031	"Wednesday, February 26, 2031"	-14	-2	-16	366	"Wednesday, February 11, 2032"
9	2032	"Wednesday, February 11, 2032"	21	-1	20	365	"Wednesday, March 2, 2033"
10	2033	"Wednesday, March 2, 2033"	-7	-1	-8	365	"Wednesday, February 22, 2034"
11	2034	"Wednesday, February 22, 2034"	-14	-1	-15	365	"Wednesday, February 7, 2035"
12	2035	"Wednesday, February 7, 2035"	21	-2	19	366	"Wednesday, February 27, 2036"
13	2036	"Wednesday, February 27, 2036"	-7	-1	-8	365	"Wednesday, February 18, 2037"
14	2037	"Wednesday, February 18, 2037"	21	-1	20	365	"Wednesday, March 10, 2038"
15	2038	"Wednesday, March 10, 2038"	-14	-1	-15	365	"Wednesday, February 23, 2039"
16	2039	"Wednesday, February 23, 2039"	-7	-2	-9	366	"Wednesday, February 15, 2040"
17	2040	"Wednesday, February 15, 2040"	21	-1	20	365	"Wednesday, March 6, 2041"
18	2041	"Wednesday, March 6, 2041"	-14	-1	-15	365	"Wednesday, February 19, 2042"
19	2042	"Wednesday, February 19, 2042"	-7	-1	-8	365	"Wednesday, February 11, 2043"
20	2043	"Wednesday, February 11, 2043"	21	-2	19	366	"Wednesday, March 2, 2044"
21	2044	"Wednesday, March 2, 2044"	-7	-1	-8	365	"Wednesday, February 22, 2045"
22	2045	"Wednesday, February 22, 2045"	-14	-1	-15	365	"Wednesday, February 7, 2046"
23	2046	"Wednesday, February 7, 2046"	21	-1	20	365	"Wednesday, February 27, 2047"
24	2047	"Wednesday, February 27, 2047"	-7	-2	-9	366	"Wednesday, February 19, 2048"
25	2048	"Wednesday, February 19, 2048"	14	-1	13	365	"Wednesday, March 3, 2049"
26	2049	"Wednesday, March 3, 2049"	-7	-1	-8	365	"Wednesday, February 23, 2050"
27	2050	"Wednesday, February 23, 2050"	-7	-1	-8	365	"Wednesday, February 15, 2051"
28	2051	"Wednesday, February 15, 2051"	21	-2	19	366	"Wednesday, March 6, 2052"
29	2052	"Wednesday, March 6, 2052"	-14	-1	-15	365	"Wednesday, February 19, 2053"
30	2053	"Wednesday, February 19, 2053"	-7	-1	-8	365	"Wednesday, February 11, 2054"
31	2054	"Wednesday, February 11, 2054"	21	-1	20	365	"Wednesday, March 3, 2055"
32	2055	"Wednesday, March 3, 2055"	-14	-2	-16	366	"Wednesday, February 16, 2056"
33	2056	"Wednesday, February 16, 2056"	21	-1	20	365	"Wednesday, March 7, 2057"
34	2057	"Wednesday, March 7, 2057"	-7	-1	-8	365	"Wednesday, February 27, 2058"
35	2058	"Wednesday, February 27, 2058"	-14	-1	-15	365	"Wednesday, February 12, 2059"
36	2059	"Wednesday, February 12, 2059"	21	-2	19	366	"Wednesday, March 3, 2060"
37	2060	"Wednesday, March 3, 2060"	-7	-1	-8	365	"Wednesday, February 23, 2061"
38	2061	"Wednesday, February 23, 2061"	-7	-1	-8	365	"Wednesday, February 15, 2062"
39	2062	"Wednesday, February 15, 2062"	21	-1	20	365	"Wednesday, March 7, 2063"
40	2063	"Wednesday, March 7, 2063"	-14	-2	-16	366	"Wednesday, February 20, 2064"
41	2064	"Wednesday, February 20, 2064"	-7	-1	-8	365	"Wednesday, February 11, 2065"
42	2065	"Wednesday, February 11, 2065"	14	-1	13	365	"Wednesday, February 24, 2066"
43	2066	"Wednesday, February 24, 2066"	-7	-1	-8	365	"Wednesday, February 16, 2067"
44	2067	"Wednesday, February 16, 2067"	21	-2	19	366	"Wednesday, March 7, 2068"
45	2068	"Wednesday, March 7, 2068"	-7	-1	-8	365	"Wednesday, February 27, 2069"
46	2069	"Wednesday, February 27, 2069"	-14	-1	-15	365	"Wednesday, February 12, 2070"
47	2070	"Wednesday, February 12, 2070"	21	-1	20	365	"Wednesday, March 4, 2071"
48	2071	"Wednesday, March 4, 2071"	-7	-2	-9	366	"Wednesday, February 24, 2072"
49	2072	"Wednesday, February 24, 2072"	-14	-1	-15	365	"Wednesday, February 8, 2073"
50	2073	"Wednesday, February 8, 2073"	21	-1	20	365	"Wednesday, February 28, 2074"
51	2074	"Wednesday, February 28, 2074"	-7	-1	-8	365	"Wednesday, February 20, 2075"
52	2075	"Wednesday, February 20, 2075"	14	-2	12	366	"Wednesday, March 4, 2076"
53	2076	"Wednesday, March 4, 2076"	-7	-1	-8	365	"Wednesday, February 24, 2077"
54	2077	"Wednesday, February 24, 2077"	-7	-1	-8	365	"Wednesday, February 16, 2078"
55	2078	"Wednesday, February 16, 2078"	21	-1	20	365	"Wednesday, March 8, 2079"
56	2079	"Wednesday, March 8, 2079"	-14	-2	-16	366	"Wednesday, February 21, 2080"
57	2080	"Wednesday, February 21, 2080"	-7	-1	-8	365	"Wednesday, February 12, 2081"
58	2081	"Wednesday, February 12, 2081"	21	-1	20	365	"Wednesday, March 4, 2082"
59	2082	"Wednesday, March 4, 2082"	-14	-1	-15	365	"Wednesday, February 17, 2083"
60	2083	"Wednesday, February 17, 2083"	21	-2	19	366	"Wednesday, March 8, 2084"
61	2084	"Wednesday, March 8, 2084"	-7	-1	-8	365	"Wednesday, February 28, 2085"
62	2085	"Wednesday, February 28, 2085"	-14	-1	-15	365	"Wednesday, February 13, 2086"
63	2086	"Wednesday, February 13, 2086"	21	-1	20	365	"Wednesday, March 5, 2087"
64	2087	"Wednesday, March 5, 2087"	-7	-2	-9	366	"Wednesday, February 25, 2088"
65	2088	"Wednesday, February 25, 2088"	-7	-1	-8	365	"Wednesday, February 16, 2089"
66	2089	"Wednesday, February 16, 2089"	21	-1	20	365	"Wednesday, March 8, 2090"
67	2090	"Wednesday, March 8, 2090"	-14	-1	-15	365	"Wednesday, February 21, 2091"
68	2091	"Wednesday, February 21, 2091"	-7	-2	-9	366	"Wednesday, February 13, 2092"
69	2092	"Wednesday, February 13, 2092"	14	-1	13	365	"Wednesday, February 25, 2093"
70	2093	"Wednesday, February 25, 2093"	-7	-1	-8	365	"Wednesday, February 17, 2094"
71	2094	"Wednesday, February 17, 2094"	21	-1	20	365	"Wednesday, March 9, 2095"
72	2095	"Wednesday, March 9, 2095"	-7	-2	-9	366	"Wednesday, February 29, 2096"
73	2096	"Wednesday, February 29, 2096"	-14	-1	-15	365	"Wednesday, February 13, 2097"
74	2097	"Wednesday, February 13, 2097"	21	-1	20	365	"Wednesday, March 5, 2098"
75	2098	"Wednesday, March 5, 2098"	-7	-1	-8	365	"Wednesday, February 25, 2099"
76	2099	"Wednesday, February 25, 2099"	-14	-1	-15	365	"Wednesday, February 10, 2100"
