No,Year,Holy Thursday,Diff Next Year,Shift Day,Total Diff,Total Year,Next Holy Thursday
1,2024,"Thursday, March 28, 2024",21,-1,20,365,"Thursday, April 17, 2025"
2,2025,"Thursday, April 17, 2025",-14,-1,-15,365,"Thursday, April 2, 2026"
3,2026,"Thursday, April 2, 2026",-7,-1,-8,365,"Thursday, March 25, 2027"
4,2027,"Thursday, March 25, 2027",21,-2,19,366,"Thursday, April 13, 2028"
5,2028,"Thursday, April 13, 2028",-14,-1,-15,365,"Thursday, March 29, 2029"
6,2029,"Thursday, March 29, 2029",21,-1,20,365,"Thursday, April 18, 2030"
7,2030,"Thursday, April 18, 2030",-7,-1,-8,365,"Thursday, April 10, 2031"
8,2031,"Thursday, April 10, 2031",-14,-2,-16,366,"Thursday, March 25, 2032"
9,2032,"Thursday, March 25, 2032",21,-1,20,365,"Thursday, April 14, 2033"
10,2033,"Thursday, April 14, 2033",-7,-1,-8,365,"Thursday, April 6, 2034"
11,2034,"Thursday, April 6, 2034",-14,-1,-15,365,"Thursday, March 22, 2035"
12,2035,"Thursday, March 22, 2035",21,-2,19,366,"Thursday, April 10, 2036"
13,2036,"Thursday, April 10, 2036",-7,-1,-8,365,"Thursday, April 2, 2037"
14,2037,"Thursday, April 2, 2037",21,-1,20,365,"Thursday, April 22, 2038"
15,2038,"Thursday, April 22, 2038",-14,-1,-15,365,"Thursday, April 7, 2039"
16,2039,"Thursday, April 7, 2039",-7,-2,-9,366,"Thursday, March 29, 2040"
17,2040,"Thursday, March 29, 2040",21,-1,20,365,"Thursday, April 18, 2041"
18,2041,"Thursday, April 18, 2041",-14,-1,-15,365,"Thursday, April 3, 2042"
19,2042,"Thursday, April 3, 2042",-7,-1,-8,365,"Thursday, March 26, 2043"
20,2043,"Thursday, March 26, 2043",21,-2,19,366,"Thursday, April 14, 2044"
21,2044,"Thursday, April 14, 2044",-7,-1,-8,365,"Thursday, April 6, 2045"
22,2045,"Thursday, April 6, 2045",-14,-1,-15,365,"Thursday, March 22, 2046"
23,2046,"Thursday, March 22, 2046",21,-1,20,365,"Thursday, April 11, 2047"
24,2047,"Thursday, April 11, 2047",-7,-2,-9,366,"Thursday, April 2, 2048"
25,2048,"Thursday, April 2, 2048",14,-1,13,365,"Thursday, April 15, 2049"
26,2049,"Thursday, April 15, 2049",-7,-1,-8,365,"Thursday, April 7, 2050"
27,2050,"Thursday, April 7, 2050",-7,-1,-8,365,"Thursday, March 30, 2051"
28,2051,"Thursday, March 30, 2051",21,-2,19,366,"Thursday, April 18, 2052"
