No	Year	Holy Tuesday	Diff Next Year	Shift Day	Total Diff	Total Year	Next Holy Tuesday
1	2024	"Tuesday, March 26, 2024"	21	-1	20	365	"Tuesday, April 15, 2025"
2	2025	"Tuesday, April 15, 2025"	-14	-1	-15	365	"Tuesday, March 31, 2026"
3	2026	"Tuesday, March 31, 2026"	-7	-1	-8	365	"Tuesday, March 23, 2027"
4	2027	"Tuesday, March 23, 2027"	21	-2	19	366	"Tuesday, April 11, 2028"
5	2028	"Tuesday, April 11, 2028"	-14	-1	-15	365	"Tuesday, March 27, 2029"
6	2029	"Tuesday, March 27, 2029"	21	-1	20	365	"Tuesday, April 16, 2030"
7	2030	"Tuesday, April 16, 2030"	-7	-1	-8	365	"Tuesday, April 8, 2031"
8	2031	"Tuesday, April 8, 2031"	-14	-2	-16	366	"Tuesday, March 23, 2032"
9	2032	"Tuesday, March 23, 2032"	21	-1	20	365	"Tuesday, April 12, 2033"
10	2033	"Tuesday, April 12, 2033"	-7	-1	-8	365	"Tuesday, April 4, 2034"
11	2034	"Tuesday, April 4, 2034"	-14	-1	-15	365	"Tuesday, March 20, 2035"
12	2035	"Tuesday, March 20, 2035"	21	-2	19	366	"Tuesday, April 8, 2036"
13	2036	"Tuesday, April 8, 2036"	-7	-1	-8	365	"Tuesday, March 31, 2037"
14	2037	"Tuesday, March 31, 2037"	21	-1	20	365	"Tuesday, April 20, 2038"
15	2038	"Tuesday, April 20, 2038"	-14	-1	-15	365	"Tuesday, April 5, 2039"
16	2039	"Tuesday, April 5, 2039"	-7	-2	-9	366	"Tuesday, March 27, 2040"
17	2040	"Tuesday, March 27, 2040"	21	-1	20	365	"Tuesday, April 16, 2041"
18	2041	"Tuesday, April 16, 2041"	-14	-1	-15	365	"Tuesday, April 1, 2042"
19	2042	"Tuesday, April 1, 2042"	-7	-1	-8	365	"Tuesday, March 24, 2043"
20	2043	"Tuesday, March 24, 2043"	21	-2	19	366	"Tuesday, April 12, 2044"
21	2044	"Tuesday, April 12, 2044"	-7	-1	-8	365	"Tuesday, April 4, 2045"
22	2045	"Tuesday, April 4, 2045"	-14	-1	-15	365	"Tuesday, March 20, 2046"
23	2046	"Tuesday, March 20, 2046"	21	-1	20	365	"Tuesday, April 9, 2047"
24	2047	"Tuesday, April 9, 2047"	-7	-2	-9	366	"Tuesday, March 31, 2048"
25	2048	"Tuesday, March 31, 2048"	14	-1	13	365	"Tuesday, April 13, 2049"
26	2049	"Tuesday, April 13, 2049"	-7	-1	-8	365	"Tuesday, April 5, 2050"
27	2050	"Tuesday, April 5, 2050"	-7	-1	-8	365	"Tuesday, March 28, 2051"
28	2051	"Tuesday, March 28, 2051"	21	-2	19	366	"Tuesday, April 16, 2052"
29	2052	"Tuesday, April 16, 2052"	-14	-1	-15	365	"Tuesday, April 1, 2053"
30	2053	"Tuesday, April 1, 2053"	-7	-1	-8	365	"Tuesday, March 24, 2054"
31	2054	"Tuesday, March 24, 2054"	21	-1	20	365	"Tuesday, April 13, 2055"
32	2055	"Tuesday, April 13, 2055"	-14	-2	-16	366	"Tuesday, March 28, 2056"
33	2056	"Tuesday, March 28, 2056"	21	-1	20	365	"Tuesday, April 17, 2057"
34	2057	"Tuesday, April 17, 2057"	-7	-1	-8	365	"Tuesday, April 9, 2058"
35	2058	"Tuesday, April 9, 2058"	-14	-1	-15	365	"Tuesday, March 25, 2059"
36	2059	"Tuesday, March 25, 2059"	21	-2	19	366	"Tuesday, April 13, 2060"
37	2060	"Tuesday, April 13, 2060"	-7	-1	-8	365	"Tuesday, April 5, 2061"
38	2061	"Tuesday, April 5, 2061"	-7	-1	-8	365	"Tuesday, March 28, 2062"
39	2062	"Tuesday, March 28, 2062"	21	-1	20	365	"Tuesday, April 17, 2063"
40	2063	"Tuesday, April 17, 2063"	-14	-2	-16	366	"Tuesday, April 1, 2064"
41	2064	"Tuesday, April 1, 2064"	-7	-1	-8	365	"Tuesday, March 24, 2065"
42	2065	"Tuesday, March 24, 2065"	14	-1	13	365	"Tuesday, April 6, 2066"
43	2066	"Tuesday, April 6, 2066"	-7	-1	-8	365	"Tuesday, March 29, 2067"
44	2067	"Tuesday, March 29, 2067"	21	-2	19	366	"Tuesday, April 17, 2068"
45	2068	"Tuesday, April 17, 2068"	-7	-1	-8	365	"Tuesday, April 9, 2069"
46	2069	"Tuesday, April 9, 2069"	-14	-1	-15	365	"Tuesday, March 25, 2070"
47	2070	"Tuesday, March 25, 2070"	21	-1	20	365	"Tuesday, April 14, 2071"
48	2071	"Tuesday, April 14, 2071"	-7	-2	-9	366	"Tuesday, April 5, 2072"
49	2072	"Tuesday, April 5, 2072"	-14	-1	-15	365	"Tuesday, March 21, 2073"
50	2073	"Tuesday, March 21, 2073"	21	-1	20	365	"Tuesday, April 10, 2074"
51	2074	"Tuesday, April 10, 2074"	-7	-1	-8	365	"Tuesday, April 2, 2075"
52	2075	"Tuesday, April 2, 2075"	14	-2	12	366	"Tuesday, April 14, 2076"
53	2076	"Tuesday, April 14, 2076"	-7	-1	-8	365	"Tuesday, April 6, 2077"
54	2077	"Tuesday, April 6, 2077"	-7	-1	-8	365	"Tuesday, March 29, 2078"
55	2078	"Tuesday, March 29, 2078"	21	-1	20	365	"Tuesday, April 18, 2079"
56	2079	"Tuesday, April 18, 2079"	-14	-2	-16	366	"Tuesday, April 2, 2080"
57	2080	"Tuesday, April 2, 2080"	-7	-1	-8	365	"Tuesday, March 25, 2081"
58	2081	"Tuesday, March 25, 2081"	21	-1	20	365	"Tuesday, April 14, 2082"
59	2082	"Tuesday, April 14, 2082"	-14	-1	-15	365	"Tuesday, March 30, 2083"
60	2083	"Tuesday, March 30, 2083"	21	-2	19	366	"Tuesday, April 18, 2084"
61	2084	"Tuesday, April 18, 2084"	-7	-1	-8	365	"Tuesday, April 10, 2085"
62	2085	"Tuesday, April 10, 2085"	-14	-1	-15	365	"Tuesday, March 26, 2086"
63	2086	"Tuesday, March 26, 2086"	21	-1	20	365	"Tuesday, April 15, 2087"
64	2087	"Tuesday, April 15, 2087"	-7	-2	-9	366	"Tuesday, April 6, 2088"
65	2088	"Tuesday, April 6, 2088"	-7	-1	-8	365	"Tuesday, March 29, 2089"
66	2089	"Tuesday, March 29, 2089"	21	-1	20	365	"Tuesday, April 18, 2090"
