No,Year,Holy Wednesday,Diff Next Year,Shift Day,Total Diff,Total Year,Next Holy Wednesday
1,2024,"Wednesday, March 27, 2024",21,-1,20,365,"Wednesday, April 16, 2025"
2,2025,"Wednesday, April 16, 2025",-14,-1,-15,365,"Wednesday, April 1, 2026"
3,2026,"Wednesday, April 1, 2026",-7,-1,-8,365,"Wednesday, March 24, 2027"
4,2027,"Wednesday, March 24, 2027",21,-2,19,366,"Wednesday, April 12, 2028"
5,2028,"Wednesday, April 12, 2028",-14,-1,-15,365,"Wednesday, March 28, 2029"
6,2029,"Wednesday, March 28, 2029",21,-1,20,365,"Wednesday, April 17, 2030"
7,2030,"Wednesday, April 17, 2030",-7,-1,-8,365,"Wednesday, April 9, 2031"
8,2031,"Wednesday, April 9, 2031",-14,-2,-16,366,"Wednesday, March 24, 2032"
9,2032,"Wednesday, March 24, 2032",21,-1,20,365,"Wednesday, April 13, 2033"
10,2033,"Wednesday, April 13, 2033",-7,-1,-8,365,"Wednesday, April 5, 2034"
11,2034,"Wednesday, April 5, 2034",-14,-1,-15,365,"Wednesday, March 21, 2035"
12,2035,"Wednesday, March 21, 2035",21,-2,19,366,"Wednesday, April 9, 2036"
13,2036,"Wednesday, April 9, 2036",-7,-1,-8,365,"Wednesday, April 1, 2037"
14,2037,"Wednesday, April 1, 2037",21,-1,20,365,"Wednesday, April 21, 2038"
15,2038,"Wednesday, April 21, 2038",-14,-1,-15,365,"Wednesday, April 6, 2039"
16,2039,"Wednesday, April 6, 2039",-7,-2,-9,366,"Wednesday, March 28, 2040"
17,2040,"Wednesday, March 28, 2040",21,-1,20,365,"Wednesday, April 17, 2041"
18,2041,"Wednesday, April 17, 2041",-14,-1,-15,365,"Wednesday, April 2, 2042"
19,2042,"Wednesday, April 2, 2042",-7,-1,-8,365,"Wednesday, March 25, 2043"
20,2043,"Wednesday, March 25, 2043",21,-2,19,366,"Wednesday, April 13, 2044"
21,2044,"Wednesday, April 13, 2044",-7,-1,-8,365,"Wednesday, April 5, 2045"
22,2045,"Wednesday, April 5, 2045",-14,-1,-15,365,"Wednesday, March 21, 2046"
23,2046,"Wednesday, March 21, 2046",21,-1,20,365,"Wednesday, April 10, 2047"
24,2047,"Wednesday, April 10, 2047",-7,-2,-9,366,"Wednesday, April 1, 2048"
25,2048,"Wednesday, April 1, 2048",14,-1,13,365,"Wednesday, April 14, 2049"
26,2049,"Wednesday, April 14, 2049",-7,-1,-8,365,"Wednesday, April 6, 2050"
27,2050,"Wednesday, April 6, 2050",-7,-1,-8,365,"Wednesday, March 29, 2051"
28,2051,"Wednesday, March 29, 2051",21,-2,19,366,"Wednesday, April 17, 2052"
29,2052,"Wednesday, April 17, 2052",-14,-1,-15,365,"Wednesday, April 2, 2053"
