No	Year	Palm Sunday	Diff Next Year	Shift Day	Total Diff	Total Year	Next Palm Sunday
1	2024	"Sunday, March 24, 2024"	21	-1	20	365	"Sunday, April 13, 2025"
2	2025	"Sunday, April 13, 2025"	-14	-1	-15	365	"Sunday, March 29, 2026"
3	2026	"Sunday, March 29, 2026"	-7	-1	-8	365	"Sunday, March 21, 2027"
4	2027	"Sunday, March 21, 2027"	21	-2	19	366	"Sunday, April 9, 2028"
5	2028	"Sunday, April 9, 2028"	-14	-1	-15	365	"Sunday, March 25, 2029"
6	2029	"Sunday, March 25, 2029"	21	-1	20	365	"Sunday, April 14, 2030"
7	2030	"Sunday, April 14, 2030"	-7	-1	-8	365	"Sunday, April 6, 2031"
8	2031	"Sunday, April 6, 2031"	-14	-2	-16	366	"Sunday, March 21, 2032"
9	2032	"Sunday, March 21, 2032"	21	-1	20	365	"Sunday, April 10, 2033"
10	2033	"Sunday, April 10, 2033"	-7	-1	-8	365	"Sunday, April 2, 2034"
11	2034	"Sunday, April 2, 2034"	-14	-1	-15	365	"Sunday, March 18, 2035"
12	2035	"Sunday, March 18, 2035"	21	-2	19	366	"Sunday, April 6, 2036"
13	2036	"Sunday, April 6, 2036"	-7	-1	-8	365	"Sunday, March 29, 2037"
14	2037	"Sunday, March 29, 2037"	21	-1	20	365	"Sunday, April 18, 2038"
15	2038	"Sunday, April 18, 2038"	-14	-1	-15	365	"Sunday, April 3, 2039"
16	2039	"Sunday, April 3, 2039"	-7	-2	-9	366	"Sunday, March 25, 2040"
17	2040	"Sunday, March 25, 2040"	21	-1	20	365	"Sunday, April 14, 2041"
18	2041	"Sunday, April 14, 2041"	-14	-1	-15	365	"Sunday, March 30, 2042"
19	2042	"Sunday, March 30, 2042"	-7	-1	-8	365	"Sunday, March 22, 2043"
20	2043	"Sunday, March 22, 2043"	21	-2	19	366	"Sunday, April 10, 2044"
21	2044	"Sunday, April 10, 2044"	-7	-1	-8	365	"Sunday, April 2, 2045"
22	2045	"Sunday, April 2, 2045"	-14	-1	-15	365	"Sunday, March 18, 2046"
23	2046	"Sunday, March 18, 2046"	21	-1	20	365	"Sunday, April 7, 2047"
24	2047	"Sunday, April 7, 2047"	-7	-2	-9	366	"Sunday, March 29, 2048"
25	2048	"Sunday, March 29, 2048"	14	-1	13	365	"Sunday, April 11, 2049"
26	2049	"Sunday, April 11, 2049"	-7	-1	-8	365	"Sunday, April 3, 2050"
27	2050	"Sunday, April 3, 2050"	-7	-1	-8	365	"Sunday, March 26, 2051"
28	2051	"Sunday, March 26, 2051"	21	-2	19	366	"Sunday, April 14, 2052"
29	2052	"Sunday, April 14, 2052"	-14	-1	-15	365	"Sunday, March 30, 2053"
30	2053	"Sunday, March 30, 2053"	-7	-1	-8	365	"Sunday, March 22, 2054"
31	2054	"Sunday, March 22, 2054"	21	-1	20	365	"Sunday, April 11, 2055"
32	2055	"Sunday, April 11, 2055"	-14	-2	-16	366	"Sunday, March 26, 2056"
33	2056	"Sunday, March 26, 2056"	21	-1	20	365	"Sunday, April 15, 2057"
34	2057	"Sunday, April 15, 2057"	-7	-1	-8	365	"Sunday, April 7, 2058"
35	2058	"Sunday, April 7, 2058"	-14	-1	-15	365	"Sunday, March 23, 2059"
36	2059	"Sunday, March 23, 2059"	21	-2	19	366	"Sunday, April 11, 2060"
37	2060	"Sunday, April 11, 2060"	-7	-1	-8	365	"Sunday, April 3, 2061"
38	2061	"Sunday, April 3, 2061"	-7	-1	-8	365	"Sunday, March 26, 2062"
39	2062	"Sunday, March 26, 2062"	21	-1	20	365	"Sunday, April 15, 2063"
40	2063	"Sunday, April 15, 2063"	-14	-2	-16	366	"Sunday, March 30, 2064"
41	2064	"Sunday, March 30, 2064"	-7	-1	-8	365	"Sunday, March 22, 2065"
42	2065	"Sunday, March 22, 2065"	14	-1	13	365	"Sunday, April 4, 2066"
43	2066	"Sunday, April 4, 2066"	-7	-1	-8	365	"Sunday, March 27, 2067"
44	2067	"Sunday, March 27, 2067"	21	-2	19	366	"Sunday, April 15, 2068"
45	2068	"Sunday, April 15, 2068"	-7	-1	-8	365	"Sunday, April 7, 2069"
46	2069	"Sunday, April 7, 2069"	-14	-1	-15	365	"Sunday, March 23, 2070"
47	2070	"Sunday, March 23, 2070"	21	-1	20	365	"Sunday, April 12, 2071"
48	2071	"Sunday, April 12, 2071"	-7	-2	-9	366	"Sunday, April 3, 2072"
49	2072	"Sunday, April 3, 2072"	-14	-1	-15	365	"Sunday, March 19, 2073"
50	2073	"Sunday, March 19, 2073"	21	-1	20	365	"Sunday, April 8, 2074"
51	2074	"Sunday, April 8, 2074"	-7	-1	-8	365	"Sunday, March 31, 2075"
52	2075	"Sunday, March 31, 2075"	14	-2	12	366	"Sunday, April 12, 2076"
53	2076	"Sunday, April 12, 2076"	-7	-1	-8	365	"Sunday, April 4, 2077"
54	2077	"Sunday, April 4, 2077"	-7	-1	-8	365	"Sunday, March 27, 2078"
55	2078	"Sunday, March 27, 2078"	21	-1	20	365	"Sunday, April 16, 2079"
56	2079	"Sunday, April 16, 2079"	-14	-2	-16	366	"Sunday, March 31, 2080"
57	2080	"Sunday, March 31, 2080"	-7	-1	-8	365	"Sunday, March 23, 2081"
58	2081	"Sunday, March 23, 2081"	21	-1	20	365	"Sunday, April 12, 2082"
59	2082	"Sunday, April 12, 2082"	-14	-1	-15	365	"Sunday, March 28, 2083"
60	2083	"Sunday, March 28, 2083"	21	-2	19	366	"Sunday, April 16, 2084"
61	2084	"Sunday, April 16, 2084"	-7	-1	-8	365	"Sunday, April 8, 2085"
62	2085	"Sunday, April 8, 2085"	-14	-1	-15	365	"Sunday, March 24, 2086"
63	2086	"Sunday, March 24, 2086"	21	-1	20	365	"Sunday, April 13, 2087"
64	2087	"Sunday, April 13, 2087"	-7	-2	-9	366	"Sunday, April 4, 2088"
65	2088	"Sunday, April 4, 2088"	-7	-1	-8	365	"Sunday, March 27, 2089"
66	2089	"Sunday, March 27, 2089"	21	-1	20	365	"Sunday, April 16, 2090"
67	2090	"Sunday, April 16, 2090"	-14	-1	-15	365	"Sunday, April 1, 2091"
68	2091	"Sunday, April 1, 2091"	-7	-2	-9	366	"Sunday, March 23, 2092"
69	2092	"Sunday, March 23, 2092"	14	-1	13	365	"Sunday, April 5, 2093"
70	2093	"Sunday, April 5, 2093"	-7	-1	-8	365	"Sunday, March 28, 2094"
71	2094	"Sunday, March 28, 2094"	21	-1	20	365	"Sunday, April 17, 2095"
72	2095	"Sunday, April 17, 2095"	-7	-2	-9	366	"Sunday, April 8, 2096"
73	2096	"Sunday, April 8, 2096"	-14	-1	-15	365	"Sunday, March 24, 2097"
74	2097	"Sunday, March 24, 2097"	21	-1	20	365	"Sunday, April 13, 2098"
75	2098	"Sunday, April 13, 2098"	-7	-1	-8	365	"Sunday, April 5, 2099"
76	2099	"Sunday, April 5, 2099"	-14	-1	-15	365	"Sunday, March 21, 2100"
