No	Year	Date	Diff Next Year	Shift Day	Total Diff	Total Year	Reference	Zero
1	2025	"Sunday, April 20, 2025"	-14	-1	-15	365	45767	0
2	2026	"Sunday, April 5, 2026"	-7	-1	-8	365	46117	0
3	2027	"Sunday, March 28, 2027"	21	-2	19	366	46474	0
4	2028	"Sunday, April 16, 2028"	-14	-1	-15	365	46859	0
5	2029	"Sunday, April 1, 2029"	21	-1	20	365	47209	0
6	2030	"Sunday, April 21, 2030"	-7	-1	-8	365	47594	0
7	2031	"Sunday, April 13, 2031"	-14	-2	-16	366	47951	0
8	2032	"Sunday, March 28, 2032"	21	-1	20	365	48301	0
9	2033	"Sunday, April 17, 2033"	-7	-1	-8	365	48686	0
10	2034	"Sunday, April 9, 2034"	-14	-1	-15	365	49043	0
11	2035	"Sunday, March 25, 2035"	21	-2	19	366	49393	0
12	2036	"Sunday, April 13, 2036"	-7	-1	-8	365	49778	0
13	2037	"Sunday, April 5, 2037"	21	-1	20	365	50135	0
14	2038	"Sunday, April 25, 2038"	-14	-1	-15	365	50520	0
15	2039	"Sunday, April 10, 2039"	-7	-2	-9	366	50870	0
16	2040	"Sunday, April 1, 2040"	21	-1	20	365	51227	0
17	2041	"Sunday, April 21, 2041"	-14	-1	-15	365	51612	0
18	2042	"Sunday, April 6, 2042"	-7	-1	-8	365	51982	-20
19	2043	"Sunday, March 29, 2043"	21	-2	19	366	52319	0
20	2044	"Sunday, April 17, 2044"	-7	-1	-8	365	52704	0
21	2045	"Sunday, April 9, 2045"	-14	-1	-15	365	53061	0
22	2046	"Sunday, March 25, 2046"	21	-1	20	365	53411	0
23	2047	"Sunday, April 14, 2047"	-7	-2	-9	366	53796	0
24	2048	"Sunday, April 5, 2048"	14	-1	13	365	54153	0
25	2049	"Sunday, April 18, 2049"	-7	-1	-8	365	54531	0
26	2050	"Sunday, April 10, 2050"	-7	-1	-8	365	54888	0
27	2051	"Sunday, April 2, 2051"	21	-2	19	366	55245	0
28	2052	"Sunday, April 21, 2052"	-14	-1	-15	365	55630	0
29	2053	"Sunday, April 6, 2053"	-7	-1	-8	365	55980	0
30	2054	"Sunday, March 29, 2054"	21	-1	20	365	56337	0
31	2055	"Sunday, April 18, 2055"	-14	-2	-16	366	56722	0
32	2056	"Sunday, April 2, 2056"	21	-1	20	365	57072	0
33	2057	"Sunday, April 22, 2057"	-7	-1	-8	365	57457	0
34	2058	"Sunday, April 14, 2058"	-14	-1	-15	365	57814	0
35	2059	"Sunday, March 30, 2059"	21	-2	19	366	58164	0
36	2060	"Sunday, April 18, 2060"	-7	-1	-8	365	58549	0
37	2061	"Sunday, April 10, 2061"	-7	-1	-8	365	58906	0
38	2062	"Sunday, April 2, 2062"	21	-1	20	365	59263	0
39	2063	"Sunday, April 22, 2063"	-14	-2	-16	366	59648	0
40	2064	"Sunday, April 6, 2064"	-7	-1	-8	365	59998	0
41	2065	"Sunday, March 29, 2065"	14	-1	13	365	60355	0
42	2066	"Sunday, April 11, 2066"	-7	-1	-8	365	60733	0
43	2067	"Sunday, April 3, 2067"	21	-2	19	366	61090	0
44	2068	"Sunday, April 22, 2068"	-7	-1	-8	365	61475	0
45	2069	"Sunday, April 14, 2069"	-14	-1	-15	365	61832	0
46	2070	"Sunday, March 30, 2070"	21	-1	20	365	62182	0
47	2071	"Sunday, April 19, 2071"	-7	-2	-9	366	62567	0
48	2072	"Sunday, April 10, 2072"	-14	-1	-15	365	62924	0
49	2073	"Sunday, March 26, 2073"	21	-1	20	365	63274	0
50	2074	"Sunday, April 15, 2074"	-7	-1	-8	365	63659	0
51	2075	"Sunday, April 7, 2075"	14	-2	12	366	64016	0
52	2076	"Sunday, April 19, 2076"	-7	-1	-8	365	64394	0
53	2077	"Sunday, April 11, 2077"	-7	-1	-8	365	64751	0
54	2078	"Sunday, April 3, 2078"	21	-1	20	365	65108	0
55	2079	"Sunday, April 23, 2079"	-14	-2	-16	366	65493	0
56	2080	"Sunday, April 7, 2080"	-7	-1	-8	365	65843	0
57	2081	"Sunday, March 30, 2081"	21	-1	20	365	66200	0
58	2082	"Sunday, April 19, 2082"	-14	-1	-15	365	66585	0
59	2083	"Sunday, April 4, 2083"	21	-2	19	366	66935	0
60	2084	"Sunday, April 23, 2084"	-7	-1	-8	365	67320	0
61	2085	"Sunday, April 15, 2085"	-14	-1	-15	365	67677	0
62	2086	"Sunday, March 31, 2086"	21	-1	20	365	68027	0
63	2087	"Sunday, April 20, 2087"	-7	-2	-9	366	68412	0
64	2088	"Sunday, April 11, 2088"	-7	-1	-8	365	68769	0
65	2089	"Sunday, April 3, 2089"	21	-1	20	365	69126	0
66	2090	"Sunday, April 23, 2090"	-14	-1	-15	365	69511	0
67	2091	"Sunday, April 8, 2091"	-7	-2	-9	366	69861	0
68	2092	"Sunday, March 30, 2092"	14	-1	13	365	70218	0
69	2093	"Sunday, April 12, 2093"	-7	-1	-8	365	70596	0
70	2094	"Sunday, April 4, 2094"	21	-1	20	365	70953	0
71	2095	"Sunday, April 24, 2095"	-7	-2	-9	366	71338	0
72	2096	"Sunday, April 15, 2096"	-14	-1	-15	365	71695	0
73	2097	"Sunday, March 31, 2097"	21	-1	20	365	72045	0
74	2098	"Sunday, April 20, 2098"	-7	-1	-8	365	72430	0
75	2099	"Sunday, April 12, 2099"	-14	-1	-15	365	72787	0
76	2100	"Sunday, March 28, 2100"	21	-1	20	365	73137	0
	2101	"Sunday, April 17, 2101"					73522	
